"{'l': 0.4014906319999998, 'm': 0.5985093680000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.25352199499999994, 'm': 0.746478005, 'h': 0}",0.0
"{'l': 0.5041189340000001, 'm': 0.4958810659999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.014544999999999975, 'h': 0.9854550000000001}",0.0
"{'l': 0.5000621005000001, 'm': 0.4999378994999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.5043601689999999, 'm': 0.4956398310000001, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.2627814249999999, 'm': 0.737218575, 'h': 0}",-0.1
"{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.2
"{'l': 0.6673167225000001, 'm': 0.33268327749999993, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.29585409499999993, 'm': 0.704145905, 'h': 0}",-0.1
"{'l': 0.8986285435000001, 'm': 0.1013714564999999, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.9202053219999999, 'm': 0.07979467800000006, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.553835895, 'h': 0.4461641050000001}",-0.1
"{'l': 0.9782785574999999, 'm': 0.021721442500000077, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.9887524475, 'm': 0.01124755249999998, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
"{'l': 0.4968083495000002, 'm': 0.5031916504999998, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 1, 'm': 0, 'h': 0}",-0.1
"{'l': 0.9996655575, 'm': 0.00033444250000003173, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0.07253798000000006, 'h': 0.92746202}",0.0
"{'l': 0.4774253895, 'm': 0.5225746105, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0.9970505949999999, 'm': 0.002949405000000002, 'h': 0}",-0.1
"{'l': 0.996067053, 'm': 0.00393294700000002, 'h': 0}","{'l': 0, 'm': 0, 'h': 1}","{'l': 0, 'm': 0, 'h': 1}",0.0
