time,current mc,min energy,most consume,queue length
401701,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
401801,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
401901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
402001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
402101,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
402201,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
402301,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
402401,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
402501,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
402601,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
402701,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
402801,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
402901,"(92, 104)",-7.349999086224823e-06,9.80392156862745e-07,126
403001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
403101,"(92, 104)",-7.349999086224823e-06,7.580999999999999e-06,126
403201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
403301,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
403401,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
403501,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
403601,"(92, 104)",-7.349999086224823e-06,7.5905e-06,126
403701,"(92, 104)",-7.349999086224823e-06,7.596499999999999e-06,126
403801,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
403901,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
404001,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
404101,"(92, 104)",-7.349999086224823e-06,7.548999999999999e-06,126
404201,"(92, 104)",-7.349999086224823e-06,4.9999999999999996e-06,126
404301,"(92, 104)",-7.349999086224823e-06,7.5799999999999994e-06,126
